id,etf_code,date,start_price,last_price,weekly_return,monthly_return
483,440910,2025-04-25,15945,16600,4.11,-2.32
484,363510,2025-04-25,110115,110165,0.05,0.26
485,256750,2025-04-25,8390,8610,2.62,-11.65
486,433500,2025-04-25,20045,20435,1.95,3.86
487,491090,2025-04-25,10155,10795,6.3,-8.09
488,485690,2025-04-25,9435,10240,8.53,-9.26
489,139250,2025-04-25,8940,9435,5.54,-4.94
490,210780,2025-04-25,15315,15775,3.0,2.34
491,289480,2025-04-25,8265,8355,1.09,-2.22
492,272570,2025-04-25,111510,111785,0.25,1.52
493,481340,2025-04-25,9770,9875,1.07,-3.93
494,360140,2025-04-25,9090,9195,1.16,-4.86
495,494220,2025-04-25,8765,9190,4.85,-10.08
496,248270,2025-04-25,22435,22535,0.45,-8.13
497,438900,2025-04-25,11860,11735,-1.05,0.34
498,326230,2025-04-25,8510,8660,1.76,1.23
499,218420,2025-04-25,13560,13880,2.36,-12.15
500,287180,2025-04-25,29620,32360,9.25,-8.34
501,271060,2025-04-25,8685,8645,-0.46,2.07
502,298770,2025-04-25,21730,22665,4.3,-9.68
503,495940,2025-04-25,8150,8915,9.39,-7.23
504,486240,2025-04-25,7490,7555,0.87,-8.81
505,494410,2025-04-25,9385,9945,5.97,-6.36
506,0005D0,2025-04-25,9990,10450,4.6,-8.09
507,495330,2025-04-25,9685,9910,2.32,-4.47
508,300950,2025-04-25,6500,6535,0.54,2.43
509,0017Y0,2025-04-25,101770,101730,-0.04,1.13
510,464920,2025-04-25,10510,11250,7.04,-7.33
511,261070,2025-04-25,14015,13980,-0.25,9.78
512,497780,2025-04-25,8905,8995,1.01,-7.73
513,169950,2025-04-25,20895,21210,1.51,-4.2
514,394350,2025-04-25,10195,10935,7.26,-2.93
515,488080,2025-04-25,4065,4480,10.21,-19.13
516,419430,2025-04-25,6250,6505,4.08,-10.15
